ID_Clube,Clube,ID_Liga
101037,Çaykur Rizespor,68
101041,Sivasspor,68
101047,Dynamo Kyiv,332
101059,Shakhtar Donetsk,332
101083,Estudiantes,1014
101084,Gimnasia,1014
101085,Racing Club,1003
101088,Vélez Sarsfield,353
101097,Audax Italiano,1014
101100,Atl. Nacional,1003
101101,Junior,1014
101103,Indep. Medellín,1003
101104,Santa Fe,1014
101105,Millonarios,1014
101108,Olimpia,1003
101109,Defensor,1014
101110,Peñarol,1014
101112,Whitecaps FC,39
110062,Girona FC,53
110069,CD Mirandés,54
110072,SC Oțelul Galați,330
110075,Farul Constanța,330
110078,FC Petrolul,330
110093,Independiente,353
110176,SSV Ulm 1846,2076
110178,SV Sandhausen,2076
110242,Racing de Ferrol,54
110313,Accrington,61
110321,Pau FC,17
110329,FC St. Pauli,20
110373,Salernitana,31
110374,Fiorentina,31
110394,Arsenal,353
110395,Lanús,353
110396,Newell's,1014
110404,Banfield,353
110406,Colón,353
110456,Valenciennes FC,17
110468,Viktoria Plzeň,319
110482,Hallescher FC,2076
110500,Braunschweig,20
110501,SC Verl,2076
110502,SV Darmstadt 98,19
110532,SV Waldhof,2076
110556,Genoa,31
110580,Rosario Central,353
110588,1. FC Magdeburg,20
110636,Düsseldorf,20
110645,Viktoria Köln,2076
110676,B. Dortmund II,2076
110691,SC Freiburg II,2076
110720,Blau-Weiss Linz,80
110724,KV Mechelen,4
110738,Pisa,32
110740,Reggiana,32
110745,Jagiellonia,66
110746,Pogoń Szczecin,66
110747,Cracovia,66
110749,Zagłębie Lubin,66
110750,UTA Arad,330
110751,FC Univ. Cluj,330
110752,FC Botoșani,330
110765,Incheon United,83
110776,Gaziantep,68
110799,Sutton United,61
110815,Politehnica Iași,330
110827,R. Oviedo,54
110832,Granada CF,53
110839,SD Huesca,54
110890,Crawley Town,61
110902,Villarreal CF B,54
110908,Catanzaro,32
110953,Instituto,353
110955,Shanghai Shenhua,2012
110967,Blooming,1014
110968,Bolívar,1003
110969,The Strongest,1003
110970,O. Petrolero,1014
110975,Uni. Católica,1014
110978,Cobresal,1014
110980,Colo-Colo,1003
110981,Barcelona SC,1003
110982,Dep. Cuenca,1014
110984,CS Emelec,1014
110986,LDU Quito,1014
110987,Aucas,1003
110989,Caracas F.C.,1014
110990,Dep. Táchira,1014
110993,Monagas SC,1003
110998,Danubio,1014
111004,Tacuary,1014
111008,Libertad,1003
111010,Alianza Lima,1003
111011,Cienciano,1014
111013,Sporting Cristal,1003
111014,Universitario,1014
111019,Argentinos Jrs.,1003
111022,Belgrano,353
111042,Goiás,1014
111052,Fortaleza,1014
111065,Real Salt Lake,39
111083,Korona Kielce,66
111085,ŁKS Łódź,66
111086,Piast Gliwice,66
111088,Radomiak Radom,66
111092,Śląsk Wrocław,66
111117,Karagümrük SK,68
111132,UCD AFC,65
111138,Minnesota United,39
111139,CF Montréal,39
111140,Portland Timbers,39
111144,Sounders FC,39
111235,Heidenheim,19
111239,FC Ingolstadt 04,2076
111276,USL Dunkerque,17
111325,Nacional,1003
111326,Liverpool,1003
111328,Palestino,1014
111329,Guaraní,1014
111332,Est. de Mérida,1014
111334,FBC Melgar,1003
111339,Kasımpaşa,68
111380,Almere City FC,10
111393,Adelaide United,351
111395,Brisbane Roar,351
111396,Central Coast,351
111397,Melb. Victory,351
111398,Newcastle Jets,351
111399,Perth Glory,351
111400,Sydney FC,351
111434,Cremonese,32
111539,FC Vizela,308
111629,East Bengal,2149
111651,Toronto FC,39
111657,Frosinone,31
111659,Rodez AF,17
111674,Al Shabab,350
111701,Al Ain FC,2172
111705,Brommapojkarna,56
111706,Godoy Cruz,353
111708,Atlético Tucumán,353
111710,Defensa,1014
111711,Huracán,1014
111715,Tigre,1014
111716,Unión,353
111722,Deportes Tolima,1014
111724,Shandong Taishan,2012
111766,Well. Phoenix,351
111768,Beijing Guoan,2012
111769,Changchun Yatai,2012
111773,Shenzhen FC,2012
111774,Tianjin JMT FC,2012
111779,Henan SSLM FC,2012
111811,Monza,31
111817,Paris FC,17
111822,Wolfsberger AC,80
111928,SJ Earthquakes,39
111974,Sassuolo,31
111993,Cittadella,32
112001,América Mineiro,1014
112072,Mjällby AIF,56
112096,Ettifaq FC,350
112115,Gangwon FC,83
112126,IFK Värnamo,56
112134,Philadelphia,39
112139,Al Nassr,350
112163,Zhejiang Pro,2012
112168,Cosenza,32
112172,RB Leipzig,19
112184,River Plate,1014
112199,Sarpsborg 08,41
112222,Harrogate Town,61
112224,Melbourne City,351
112254,Newport County,61
112258,GwangJu FC,83
112259,AFC Wimbledon,61
